week_start_date,ad_spend_google,ad_spend_meta,ad_spend_other,impressions_total,clicks_total,leads_paid,leads_organic,bookings_total,appointments_completed,appointments_cancelled,new_clients_paid,new_clients_organic,returning_clients,gross_revenue,refunds,variable_cost
2024-10-07,550,150,80,15000,220,8,5,12,11,1,6,4,9,8800.0,100.0,1800.0
2024-10-14,580,160,80,15500,230,9,5,13,12,1,7,4,9,9840.0,110.0,1900.0
2024-10-21,600,165,80,16000,240,9,6,14,13,1,7,4,10,10400.0,120.0,2000.0
2024-10-28,620,170,80,16500,250,10,6,15,13,2,7,5,10,10530.0,130.0,2050.0
2024-11-04,600,165,80,16200,245,9,6,14,12,2,7,4,10,9960.0,120.0,2000.0
2024-11-11,640,180,80,17000,260,11,7,16,14,2,8,5,11,11900.0,140.0,2100.0
2024-11-11,650,185,82,17200,263,12,7,17,15,2,9,5,11,12500.0,145.0,2120.0
2024-11-18,620,175,80,16800,255,10,6,15,13,2,8,5,10,10920.0,130.0,2050.0
2024-11-25,660,185,90,17500,270,12,7,17,15,2,9,5,11,12900.0,160.0,2150.0
2024-12-02,680,190,90,18000,280,12,7,18,16,2,9,6,12,13920.0,170.0,2200.0
2024-12-09,650,180,85,17200,265,11,7,16,14,2,8,5,11,11970.0,145.0,2100.0
2024-12-16,700,195,90,18500,290,13,8,19,17,2,10,6,12,14875.0,180.0,2300.0
2024-12-23,720,200,90,19000,300,14,8,20,18,2,11,6,13,15840.0,190.0,2400.0
