week_start_date,ad_spend_google,ad_spend_meta,ad_spend_other,impressions_total,clicks_total,leads_paid,leads_organic,bookings_total,appointments_completed,appointments_cancelled,new_clients_paid,new_clients_organic,returning_clients,gross_revenue,refunds,variable_cost
2024-01-01,5000.00,4000.00,500.00,45000,1200,38,12,20,18,4,8,4,14,3000.00,100.00,1800.00
2024-01-08,5500.00,4500.00,550.00,46500,1240,40,13,21,19,4,9,4,15,3100.00,100.00,1850.00
2024-01-15,6000.00,5000.00,600.00,47800,1270,41,14,22,20,4,9,5,16,3200.00,120.00,1900.00
2024-01-22,6500.00,5500.00,650.00,48500,1300,43,14,22,20,4,10,5,16,3300.00,120.00,1950.00
2024-01-29,7000.00,6000.00,700.00,49200,1330,44,15,23,21,4,10,5,17,3400.00,130.00,2000.00
2024-02-05,7500.00,6500.00,750.00,50000,1360,46,15,24,22,4,11,6,17,3500.00,130.00,2050.00
2024-02-12,8000.00,7000.00,800.00,51200,1390,47,16,24,22,4,11,6,18,3600.00,140.00,2100.00
2024-02-19,8500.00,7500.00,850.00,52500,1420,49,16,25,23,4,12,6,18,3700.00,140.00,2150.00
2024-02-26,9000.00,8000.00,900.00,53800,1450,50,17,25,23,4,12,7,19,3800.00,150.00,2200.00
2024-03-04,9500.00,8500.00,950.00,55000,1480,52,17,26,24,4,13,7,20,3900.00,150.00,2250.00
2024-03-11,10000.00,9000.00,1000.00,56200,1510,53,18,27,25,4,13,7,20,4000.00,160.00,2300.00
2024-03-18,10500.00,9500.00,1050.00,57500,1540,55,18,27,25,4,14,8,21,4100.00,160.00,2350.00
