week_start_date,ad_spend_google,ad_spend_meta,ad_spend_other,impressions_total,clicks_total,leads_paid,leads_organic,bookings_total,appointments_completed,appointments_cancelled,new_clients_paid,new_clients_organic,returning_clients,gross_revenue,refunds,variable_cost
2024-10-07,100,300,80,60000,1400,35,25,95,88,7,28,20,57,4576.0,80.0,1200.0
2024-10-14,105,320,80,62000,1450,37,26,100,93,7,30,21,58,4929.0,85.0,1280.0
2024-10-21,108,330,80,63000,1480,38,27,102,95,7,30,21,59,4940.0,87.0,1300.0
2024-10-28,112,340,80,65000,1520,40,28,105,98,7,31,22,60,5194.0,90.0,1350.0
2024-11-04,115,350,85,66000,1550,41,28,108,100,8,32,22,62,5300.0,92.0,1380.0
2024-11-11,118,360,85,67000,1580,42,29,110,102,8,33,23,63,5406.0,95.0,1400.0
2024-11-18,120,370,85,68000,1600,43,30,112,104,8,33,23,64,5616.0,97.0,1430.0
2024-11-25,123,380,85,69000,1630,44,30,115,107,8,35,24,66,5778.0,100.0,1460.0
2024-12-02,126,390,85,70000,1660,45,31,118,110,8,35,24,67,5940.0,102.0,1490.0
2024-12-09,128,395,85,71000,1680,46,31,120,112,8,36,25,68,6160.0,105.0,1520.0
2024-12-16,130,400,85,72000,1700,47,32,122,114,8,37,25,69,6270.0,107.0,1545.0
2024-12-23,40,120,30,22000,520,14,10,38,34,4,11,8,20,2252.0,35.0,490.0
