week_start_date,ad_spend_google,ad_spend_meta,ad_spend_other,impressions_total,clicks_total,leads_paid,leads_organic,bookings_total,appointments_completed,appointments_cancelled,new_clients_paid,new_clients_organic,returning_clients,gross_revenue,refunds,variable_cost
2024-01-01,200.00,150.00,20.00,3200,88,1,1,2,2,0,1,1,1,420.00,0.00,180.00
2024-01-08,210.00,155.00,22.00,3400,92,2,1,3,2,0,1,1,1,450.00,0.00,190.00
2024-01-15,220.00,160.00,24.00,3500,95,1,1,2,2,0,1,1,1,430.00,0.00,185.00
2024-01-22,230.00,165.00,25.00,3600,98,2,1,3,3,0,2,1,1,480.00,0.00,200.00
2024-01-29,240.00,170.00,26.00,3700,100,2,1,4,3,0,1,1,2,500.00,0.00,210.00
2024-02-05,250.00,175.00,28.00,3800,103,3,1,4,4,0,2,1,2,520.00,0.00,215.00
2024-02-12,260.00,180.00,30.00,3900,106,2,1,3,3,0,1,1,2,490.00,0.00,205.00
2024-02-19,270.00,185.00,32.00,4000,109,3,2,5,4,0,2,1,2,550.00,0.00,225.00
2024-02-26,280.00,190.00,34.00,4100,112,2,1,4,4,0,2,1,2,530.00,0.00,220.00
2024-03-04,290.00,195.00,36.00,4200,115,3,2,5,4,0,2,2,2,570.00,0.00,235.00
2024-03-11,300.00,200.00,38.00,4300,118,2,1,4,4,0,2,1,3,550.00,0.00,230.00
2024-03-18,310.00,205.00,40.00,4400,121,3,2,5,5,0,3,2,3,600.00,0.00,245.00
